instrument muzical cu coarde,bratara,factor de protectie solara
schimbare de macaz,tunel pentru conducte de tevi,motor turbo
batutul covoarelor,flacara olimpica,Asia Mica
cablu prelungitor,Degetel,betia adancurilor
capacitate de concentrare,lapte de cocos,galerie de microbisti
curea de bici,vitezometru,poteca secreta
varful acului,tub din bambus,joc de lumini
ou tare,tub de respiratie pentru scafandri,campanie publicitara
ceas cu cuc,soricar cu par lung,tabla inmultirii
prietenie intre canie si pisica,peste in ulei,manie nestapanita
animal de tractiune,zana dintisorilor,masaj la talpi
prieten al cartilor,flotila,asalt
spalatura gastrica,sala de bal,administrarea crizei
spirala,profesor de schi,Casa de Creatie
aripa rotitoare,ceasi dansant,timp de gandire
generos,medic scolar,erou legendar
treapta a cursului de apa,splina,contor
bere gratis,picatura de transpiratie,srot
persoana intervievata,far fix cu lumina intermitenta,miscare de eliberare
parameci,cambula de liman,poezie satirica
domino,portelan chinezesc,piata de flori
stafeta,fractura nazala,preluarea mingii
infiorator,trandafir cu spini,film de aventuri
macara plutitoare,varsar de vant,presa
ceata,munti cutanati,gratuit
Podul suspinelor,supermarket,cirese negre
mars,terasa de plaja,stirist
praf de curatat,petala de trandafir,pierdere de timp
libertate de gandire,medic militar,cuvinte mieroase
scrisoare de concediere,reimpadurire,razboi religios
fragil,caine Saint Bernard,masa falimentara
ogar,otrava pentru sageti,la cererea publicului
